Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,1113,,1113,,2802,,1113,,1240,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",UNITED STATES
NEW ENGLAND,2017,1,41,,41,,87,,41,,38,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",NEW ENGLAND
CONNECTICUT,2017,1,5,,5,,19,,5,,6,,"{'needs_recoding': False, 'longitude': '-72.651713', 'latitude': '41.544654', 'human_address': '{""address"":"""",""city"":"""",""state"":""CONNECTICUT"",""zip"":""""}'}",
MAINE,2017,1,5,,5,,8,,5,,2,,"{'needs_recoding': False, 'longitude': '-68.986647', 'latitude': '45.252223', 'human_address': '{""address"":"""",""city"":"""",""state"":""MAINE"",""zip"":""""}'}",
MASSACHUSETTS,2017,1,26,,26,,56,,26,,25,,"{'needs_recoding': False, 'longitude': '-72.085064', 'latitude': '42.268546', 'human_address': '{""address"":"""",""city"":"""",""state"":""MASSACHUSETTS"",""zip"":""""}'}",
NEW HAMPSHIRE,2017,1,2,,2,,5,,2,,2,,"{'needs_recoding': False, 'longitude': '-71.500736', 'latitude': '43.657736', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW HAMPSHIRE"",""zip"":""""}'}",
RHODE ISLAND,2017,1,3,,1,,5,,3,,3,,"{'needs_recoding': False, 'longitude': '-71.522488', 'latitude': '41.707447', 'human_address': '{""address"":"""",""city"":"""",""state"":""RHODE ISLAND"",""zip"":""""}'}",
VERMONT,2017,1,,-,0,,2,,,-,,-,"{'needs_recoding': False, 'longitude': '-72.51927', 'latitude': '43.622479', 'human_address': '{""address"":"""",""city"":"""",""state"":""VERMONT"",""zip"":""""}'}",
MID. ATLANTIC,2017,1,237,,237,,364,,237,,156,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",MID. ATLANTIC
NEW JERSEY,2017,1,31,,31,,122,,31,,23,,"{'needs_recoding': False, 'longitude': '-74.386686', 'latitude': '40.104655', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW JERSEY"",""zip"":""""}'}",
NEW YORK,2017,1,33,,33,,70,,33,,19,,"{'needs_recoding': False, 'longitude': '-75.544286', 'latitude': '42.826892', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK"",""zip"":""""}'}",
NEW YORK CITY,2017,1,140,,136,,161,,140,,90,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK CITY"",""zip"":""""}'}",
PENNSYLVANIA,2017,1,33,,33,,45,,33,,24,,"{'needs_recoding': False, 'longitude': '-77.858055', 'latitude': '40.789676', 'human_address': '{""address"":"""",""city"":"""",""state"":""PENNSYLVANIA"",""zip"":""""}'}",
E.N. CENTRAL,2017,1,117,,117,,229,,117,,102,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",E.N. CENTRAL
ILLINOIS,2017,1,59,,59,,85,,59,,54,,"{'needs_recoding': False, 'longitude': '-88.993221', 'latitude': '40.477092', 'human_address': '{""address"":"""",""city"":"""",""state"":""ILLINOIS"",""zip"":""""}'}",
INDIANA,2017,1,23,,23,,34,,23,,10,,"{'needs_recoding': False, 'longitude': '-86.156212', 'latitude': '39.76845', 'human_address': '{""address"":"""",""city"":"""",""state"":""INDIANA"",""zip"":""""}'}",
MICHIGAN,2017,1,9,,9,,42,,9,,20,,"{'needs_recoding': False, 'longitude': '-84.711206', 'latitude': '44.66399', 'human_address': '{""address"":"""",""city"":"""",""state"":""MICHIGAN"",""zip"":""""}'}",
OHIO,2017,1,22,,22,,59,,22,,13,,"{'needs_recoding': False, 'longitude': '-82.405897', 'latitude': '40.056807', 'human_address': '{""address"":"""",""city"":"""",""state"":""OHIO"",""zip"":""""}'}",
WISCONSIN,2017,1,4,,4,,16,,4,,5,,"{'needs_recoding': False, 'longitude': '-89.834513', 'latitude': '44.395526', 'human_address': '{""address"":"""",""city"":"""",""state"":""WISCONSIN"",""zip"":""""}'}",
W.N. CENTRAL,2017,1,39,,39,,116,,39,,57,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",W.N. CENTRAL
IOWA,2017,1,1,,1,,15,,1,,11,,"{'needs_recoding': False, 'longitude': '-93.815856', 'latitude': '42.46942', 'human_address': '{""address"":"""",""city"":"""",""state"":""IOWA"",""zip"":""""}'}",
KANSAS,2017,1,,-,0,,10,,,-,8,,"{'needs_recoding': False, 'longitude': '-98.201847', 'latitude': '38.345528', 'human_address': '{""address"":"""",""city"":"""",""state"":""KANSAS"",""zip"":""""}'}",
MINNESOTA,2017,1,19,,19,,59,,19,,14,,"{'needs_recoding': False, 'longitude': '-94.793397', 'latitude': '46.357661', 'human_address': '{""address"":"""",""city"":"""",""state"":""MINNESOTA"",""zip"":""""}'}",
MISSOURI,2017,1,7,,7,,33,,7,,15,,"{'needs_recoding': False, 'longitude': '-92.566292', 'latitude': '38.636168', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSOURI"",""zip"":""""}'}",
NEBRASKA,2017,1,4,,3,,16,,4,,1,,"{'needs_recoding': False, 'longitude': '-99.367122', 'latitude': '41.640503', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEBRASKA"",""zip"":""""}'}",
